gene	symbol	biotype
ENSG00000223972.5	DDX11L1
ENSG00000157911.9	PEX10
G000151	Unknown
ENSG00000149527.17	PLCH2
G000153	Unknown
ENSG00000224387.1	RP3-395M20.2
ENSG00000229393.1	RP3-395M20.3
ENSG00000157881.13	PANK4
ENSG00000197921.5	HES5
G000158	Unknown
G000157	Unknown
CRCAG_001676	NotAvail
ENSG00000272449.1	RP3-395M20.12
ENSG00000238164.6	RP3-395M20.8
XLOC_000022	NotAvail
ENSG00000157873.17	TNFRSF14
G000162	Unknown
ENSG00000225931.3	RP3-395M20.7
ENSG00000228037.1	RP3-395M20.9
XLOC_l2_000033	NotAvail
XLOC_000679	NotAvail
G000163	Unknown
ENSG00000157870.14	FAM213B
ENSG00000142606.15	MMEL1
ENSG00000237058.1	RP13-436F16.1
ENSG00000215912.10	TTC34
G000168	Unknown
XLOC_000026	NotAvail
ENSG00000233234.1	RP11-740P5.2
XLOC_000027	NotAvail
ENSG00000231630.1	RP11-740P5.3
G000172	Unknown
G000173	Unknown
G000174	Unknown
G000175	Unknown
G000176	Unknown
G000177	Unknown
G000178	Unknown
G000179	Unknown
G000180	Unknown
G000181	Unknown
G000182	Unknown
G000183	Unknown
G000184	Unknown
G000185	Unknown
G000186	Unknown
ENSG00000169717.6	ACTRT2
ENSG00000177133.10	LINC00982
ENSG00000142611.16	PRDM16
MIR4251	MIR4251
ENSG00000226286.1	RP1-163G9.2
G000191	Unknown
G000192	Unknown
G000193	Unknown
G000194	Unknown
G000195	Unknown
ENSG00000279839.1	RP11-193J6.1
G000196	Unknown
G000197	Unknown
ENSG00000272235.1	RP11-22L13.1
G000199	Unknown
G000200	Unknown
G000201	Unknown
G000203	Unknown
G000204	Unknown
ENSG00000130762.14	ARHGEF16
G000207	Unknown
ENSG00000272088.1	RP11-168F9.2
ENSG00000162591.15	MEGF6
G000209	Unknown
ENSG00000207776.1	MIR551A
G000210	Unknown
G000212	Unknown
ENSG00000238260.1	RP11-46F15.2
ENSG00000158109.14	TPRG1L
ENSG00000116213.15	WRAP73
ENSG00000078900.14	TP73
ENSG00000227589.1	RP5-1092A11.5
G000218	Unknown
ENSG00000235131.1	RP5-1092A11.2
G000220	Unknown
ENSG00000227372.10	TP73-AS1
ENSG00000276189.1	TP73-AS1
ENSG00000162592.8	CCDC27
G000225	Unknown
ENSG00000235169.7	SMIM1
ENSG00000130764.9	LRRC47
ENSG00000266075.2	RN7SL574P
ENSG00000272153.1	RP1-286D6.5
ENSG00000116198.12	CEP104
ENSG00000169598.15	DFFB
G000230	Unknown
ENSG00000198912.10	C1orf174
ENSG00000236423.5	LINC01134
G000232	Unknown
G000234	Unknown
G000235	Unknown
ENSG00000233304.5	LINC01346
ENSG00000226374.1	RP13-614K11.2
XLOC_l2_000038	NotAvail
XLOC_000031	NotAvail
G000240	Unknown
G000241	Unknown
G000242	Unknown
G000239	Unknown
XLOC_000032	NotAvail
G000244	Unknown
G000245	Unknown
ENSG00000229280.1	EEF1DP6
G000246	Unknown
G000247	Unknown
G000248	Unknown
G000249	Unknown
G000250	Unknown
ENSG00000235054.2	RP5-1166F10.1
G000252	Unknown
G000253	Unknown
G000256	Unknown
G000257	Unknown
G000258	Unknown
G000259	Unknown
ENSG00000227169.2	RP1-37J18.1
XLOC_000034	NotAvail
XLOC_000685	NotAvail
XLOC_000035	NotAvail
ENSG00000232596.1	RP1-37J18.2
G000263	Unknown
G000264	Unknown
G000265	Unknown
G000267	Unknown
G000268	Unknown
G000269	Unknown
G000270	Unknown
G000272	Unknown
ENSG00000196581.10	AJAP1
G000273	Unknown
G000274	Unknown
G000275	Unknown
G000276	Unknown
G000278	Unknown
G000279	Unknown
G000280	Unknown
ENSG00000277731.1	AL137795.1
G000282	Unknown
G000283	Unknown
G000284	Unknown
G000285	Unknown
XLOC_000686	NotAvail
XLOC_000036	NotAvail
G000287	Unknown
ENSG00000231510.1	RP11-542C10.1
G000291	Unknown
G000293	Unknown
G000294	Unknown
G000295	Unknown
G000296	Unknown
G000297	Unknown
G000298	Unknown
G000299	Unknown
G000300	Unknown
G000301	Unknown
G000302	Unknown
G000303	Unknown
G000304	Unknown
G000305	Unknown
XLOC_000037	NotAvail
ENSG00000260972.1	RP1-58B11.1
G000307	Unknown
ENSG00000236948.1	RP11-154H17.1
ENSG00000264341.1	MIR4417
G000309	Unknown
G000311	Unknown
G000317	Unknown
G000318	Unknown
ENSG00000216045.2	AL356693.1
CRCAG_001696	NotAvail
G000319	Unknown
G000320	Unknown
ENSG00000264101.1	MIR4689
ENSG00000131697.17	NPHP4
ENSG00000266687.1	AL356261.1
G000322	Unknown
ENSG00000069424.14	KCNAB2
G000324	Unknown
G000325	Unknown
ENSG00000116254.17	CHD5
G000327	Unknown
G000328	Unknown
ENSG00000116251.9	RPL22
ENSG00000226944.1	RP1-120G22.11
ENSG00000158286.12	RNF207
ENSG00000116237.15	ICMT
ENSG00000225077.2	LINC00337
ENSG00000173673.7	HES3
ENSG00000158292.6	GPR153
G000336	Unknown
ENSG00000097021.19	ACOT7
ENSG00000271746.1	RP1-202O8.3
G000338	Unknown
ENSG00000069812.11	HES2
ENSG00000187017.14	ESPN
ENSG00000265392.1	MIR4252
ENSG00000231868.1	RP1-202O8.2
ENSG00000215788.9	TNFRSF25
ENSG00000171680.20	PLEKHG5
G000344	Unknown
ENSG00000162408.10	NOL9
ENSG00000253022.1	RNU6-731P
ENSG00000229519.2	RP11-58A11.2
ENSG00000173662.19	TAS1R1
G000347	Unknown
ENSG00000204859.11	ZBTB48
G000348	Unknown
ENSG00000162413.16	KLHL21
G000350	Unknown
ENSG00000116273.5	PHF13
ENSG00000041988.15	THAP3
ENSG00000007923.15	DNAJC11
ENSG00000228750.5	RP11-242F24.1
G000355	Unknown
ENSG00000237436.1	RP11-312B8.1
ENSG00000171735.18	CAMTA1
ENSG00000227950.1	RP11-312B8.2
G000358	Unknown
ENSG00000237365.1	RP11-334N17.1
G000360	Unknown
ENSG00000207056.1	RNU1-8P
G000361	Unknown
ENSG00000280801.1	Z98052.1
G000362	Unknown
ENSG00000237402.1	CAMTA1-IT1
G000363	Unknown
ENSG00000237728.2	RP3-453P22.2
G000365	Unknown
ENSG00000225126.1	RP4-549F15.1
G000367	Unknown
G000368	Unknown
G000370	Unknown
G000371	Unknown
G000373	Unknown
ENSG00000270171.1	RP11-338N10.1
ENSG00000270035.1	RP11-338N10.2
ENSG00000269978.1	RP11-338N10.3
G000374	Unknown
G000375	Unknown
G000376	Unknown
ENSG00000049245.12	VAMP3
ENSG00000269925.1	RP3-467L1.6
G000379	Unknown
ENSG00000049246.14	PER3
ENSG00000236266.1	RP3-467L1.4
ENSG00000049247.13	UTS2
G000383	Unknown
ENSG00000049249.8	TNFRSF9
ENSG00000270330.1	RP5-892F13.2
G000385	Unknown
ENSG00000116288.12	PARK7
ENSG00000200344.1	Y_RNA
G000387	Unknown
G000384_grp1	Unknown
G000384_grp2	Unknown
ENSG00000116285.12	ERRFI1
XLOC_000695	NotAvail
G000389	Unknown
ENSG00000238290.1	RP11-431K24.1
G000391	Unknown
ENSG00000232848.1	CTA-215D11.4
G000392	Unknown
G000393	Unknown
CRCAG_000092	NotAvail
G000397	Unknown
G000399	Unknown
ENSG00000229305.1	RP11-431K24.2
G000401	Unknown
G000403	Unknown
G000398	Unknown
ENSG00000200975.1	RNU1-7P
ENSG00000227634.1	RP11-431K24.3
ENSG00000233645.1	RP11-431K24.4
G000405	Unknown
G000407	Unknown
ENSG00000251977.1	RNU6-991P
G000410	Unknown
G000411	Unknown
ENSG00000162426.14	SLC45A1
G000413	Unknown
ENSG00000252254.1	Y_RNA
G000414	Unknown
ENSG00000142599.17	RERE
ENSG00000232912.5	RP5-1115A15.1
SNORD128	SNORD128
ENSG00000221083.1	SNORA77
ENSG00000270282.1	RP5-1115A15.2
ENSG00000280851.1	AL096855.1
G000418	Unknown
ENSG00000234619.1	RPL7P11
G000420	Unknown
G000421	Unknown
G000422	Unknown
ENSG00000224315.2	RPL7P7
ENSG00000222511.2	Y_RNA
ENSG00000226545.1	RP4-633I8.3
G000423	Unknown
ENSG00000228423.2	RP4-633I8.4
G000424	Unknown
ENSG00000229716.2	RPL23AP19
G000426	Unknown
CRCAG_001726	NotAvail
G000427	Unknown
ENSG00000074800.13	ENO1
ENSG00000280816.1	Metazoa_SRP
ENSG00000274258.1	MIR6728
ENSG00000236269.1	ENO1-IT1
ENSG00000230679.1	ENO1-AS1
ENSG00000201725.1	RNU6-304P
ENSG00000238249.2	HMGN2P17
ENSG00000232208.2	RP3-477M7.5
ENSG00000232663.2	RP3-477M7.6
ENSG00000131686.14	CA6
G000435	Unknown
G000436	Unknown
ENSG00000265141.2	RN7SL451P
ENSG00000197241.3	SLC2A7
G000439	Unknown
ENSG00000142583.17	SLC2A5
G000442	Unknown
ENSG00000252404.1	SCARNA16
ENSG00000281506.1	AL158048.1
ENSG00000180758.11	GPR157
G000446	Unknown
G000447	Unknown
ENSG00000228526.3	RP3-510D11.1
ENSG00000207865.1	MIR34A
G000449	Unknown
ENSG00000234546.2	RP3-510D11.2
ENSG00000281937.1	RP3-510D11.4
G000450	Unknown
ENSG00000282129.1	RP3-510D11.1
ENSG00000049239.12	H6PD
G000453	Unknown
G000454	Unknown
G000456	Unknown
ENSG00000171621.13	SPSB1
G000459	Unknown
CRCAG_001735	NotAvail
LOC100506022	LOC100506022
G000460	Unknown
ENSG00000252956.1	RNA5SP40
CRCAG_001737	NotAvail
XLOC_000698	NotAvail
G000463	Unknown
G000464	Unknown
ENSG00000235263.1	RP13-392I16.1
ENSG00000171612.6	SLC25A33
ENSG00000231181.1	RP13-15M17.1
G000467	Unknown
ENSG00000188807.12	TMEM201
G000469	Unknown
G000470	Unknown
LCAG_000109	NotAvail
G000474	Unknown
ENSG00000171608.15	PIK3CD
ENSG00000179840.5	PIK3CD-AS1
ENSG00000233268.3	RP11-558F24.2
G000477	Unknown
ENSG00000231789.2	PIK3CD-AS2
G000478	Unknown
ENSG00000171603.16	CLSTN1
ENSG00000271264.1	MZT1P1
G000481	Unknown
ENSG00000280113.1	AL357140.1
G000483	Unknown
ENSG00000178585.14	CTNNBIP1
ENSG00000223989.1	RP11-84A14.5
G000485	Unknown
G000487	Unknown
ENSG00000162441.11	LZIC
ENSG00000228150.1	RP11-84A14.4
ENSG00000173614.13	NMNAT1
ENSG00000202415.1	RN7SKP269
ENSG00000265521.1	MIR5697
ENSG00000241326.1	RP11-807G9.2
G000494	Unknown
ENSG00000162444.11	RBP7
ENSG00000130939.18	UBE4B
ENSG00000224340.1	RP11-496H15.2
ENSG00000233623.2	PGAM1P11
ENSG00000201746.1	RNU6-828P
G000497	Unknown
G000498	Unknown
ENSG00000054523.16	KIF1B
ENSG00000264881.1	MIR1273D
G000500	Unknown
ENSG00000199562.1	RNU6-37P
ENSG00000264501.2	RN7SL731P
G000501	Unknown
G000502	Unknown
G000503	Unknown
ENSG00000142657.20	PGD
ENSG00000271989.1	RP4-736L20.3
ENSG00000175279.21	APITD1
ENSG00000251503.7	APITD1-CORT
ENSG00000241563.3	CORT
G000508	Unknown
G000509	Unknown
ENSG00000160049.11	DFFA
XLOC_000048	NotAvail
ENSG00000203469.2	RP5-1113E3.3
ENSG00000142655.12	PEX14
ENSG00000243267.3	RN7SL614P
G000514	Unknown
G000516	Unknown
ENSG00000130940.14	CASZ1
ENSG00000272078.1	RP4-734G22.3
G000517	Unknown
G000518	Unknown
G000519	Unknown
G000521	Unknown
G000522	Unknown
G000523	Unknown
G000524	Unknown
G000526	Unknown
ENSG00000225158.2	HSPE1P24
G000528	Unknown
G000529	Unknown
G000530	Unknown
G000531	Unknown
G000532	Unknown
ENSG00000175262.14	C1orf127
ENSG00000215785.2	CFL1P6
ENSG00000264181.1	AL713997.1
ENSG00000281322.1	Y_RNA
ENSG00000120948.15	TARDBP
ENSG00000277726.4	TARDBP
ENSG00000009724.16	MASP2
ENSG00000271895.2	RP4-635E18.8
G000540	Unknown
ENSG00000116649.9	SRM
G000542	Unknown
ENSG00000171824.13	EXOSC10
ENSG00000226849.1	RP4-635E18.7
ENSG00000281350.1	Metazoa_SRP
ENSG00000230337.1	RP4-635E18.6
ENSG00000198793.12	MTOR
ENSG00000225602.5	MTOR-AS1
ENSG00000253086.1	RNU6-537P
ENSG00000171819.4	ANGPTL7
ENSG00000207451.1	RNU6-291P
ENSG00000238173.1	RPL39P6
ENSG00000120942.13	UBIAD1
ENSG00000238199.1	UBE2V2P3
G000551	Unknown
XLOC_000701	NotAvail
G000554	Unknown
XLOC_000051	NotAvail
XLOC_000052	NotAvail
XLOC_000702	NotAvail
G000557	Unknown
ENSG00000224338.2	RP11-149P14.1
G000561	Unknown
G000563	Unknown
G000564	Unknown
ENSG00000204624.7	PTCHD2
G000566	Unknown
G000569	Unknown
ENSG00000235643.1	RP1-69M21.2
ENSG00000116661.9	FBXO2
ENSG00000132879.13	FBXO44
ENSG00000116663.10	FBXO6
G000573	Unknown
ENSG00000116670.14	MAD2L2
ENSG00000162490.6	DRAXIN
XLOC_000704	NotAvail
ENSG00000177674.15	AGTRAP
G000580	Unknown
ENSG00000215910.7	C1orf167
ENSG00000177553.6	RP11-56N19.5
ENSG00000177000.10	MTHFR
ENSG00000011021.21	CLCN6
G000587	Unknown
ENSG00000242349.5	NPPA-AS1
ENSG00000276470.1	NPPA-AS1_1
ENSG00000278852.1	NPPA-AS1_2
ENSG00000175206.10	NPPA
ENSG00000275915.1	NPPA-AS1_3
G000589	Unknown
ENSG00000120937.8	NPPB
ENSG00000224904.1	RP5-934G17.6
G000592	Unknown
ENSG00000199347.1	RNU5E-1
ENSG00000201801.1	RNU5E-4P
G000597	Unknown
G000596	Unknown
ENSG00000116685.15	KIAA2013
ENSG00000083444.16	PLOD1
ENSG00000116688.16	MFN2
ENSG00000270914.1	RP5-1077B9.5
ENSG00000116691.10	MIIP
ENSG00000202461.1	Y_RNA
ENSG00000276869.1	MIR6729
ENSG00000243539.3	RN7SL649P
G000603	Unknown
G000604	Unknown
ENSG00000120949.14	TNFRSF8
ENSG00000281342.1	Metazoa_SRP
ENSG00000201135.1	RNU6-777P
ENSG00000227875.2	RPL23AP89
G000607	Unknown
ENSG00000275459.1	MIR7846
ENSG00000028137.16	TNFRSF1B
ENSG00000263676.1	MIR4632
ENSG00000225196.2	RP5-1118D24.2
ENSG00000252969.1	SNORA70
ENSG00000048707.13	VPS13D
G000611	Unknown
G000612	Unknown
ENSG00000280999.1	AC243836.1
ENSG00000239149.1	SNORA59A
G000613	Unknown
ENSG00000229484.1	RP5-888M10.2
LCAG_000141	NotAvail
G000616	Unknown
G000618	Unknown
G000619	Unknown
ENSG00000162496.8	DHRS3
ENSG00000221340.1	RNU6ATAC18P
ENSG00000276830.1	MIR6730
G000621	Unknown
G000622	Unknown
ENSG00000272482.1	RP11-474O21.5
G000623	Unknown
G000625	Unknown
G000627	Unknown
ENSG00000204518.2	AADACL4
G000630	Unknown
G000632	Unknown
ENSG00000226166.2	RP11-474O21.2
G000633	Unknown
ENSG00000188984.11	AADACL3
ENSG00000157330.9	C1orf158
ENSG00000116726.4	PRAMEF12
ENSG00000116721.9	PRAMEF1
G000638	Unknown
ENSG00000228338.1	RP5-845O24.8
ENSG00000239810.3	PRAMEF11
G000641	Unknown
ENSG00000231103.2	RP5-845O24.3
ENSG00000179172.8	HNRNPCL1
ENSG00000120952.4	PRAMEF2
ENSG00000243073.3	PRAMEF4
G000645	Unknown
ENSG00000187545.5	PRAMEF10
ENSG00000204510.5	PRAMEF7
ENSG00000207434.1	RNU6-1072P
ENSG00000234064.1	RP11-450I1.2
ENSG00000232423.5	PRAMEF6
ENSG00000274178.2	CH17-409J4.2
ENSG00000274764.4	WI2-3308P17.2
ENSG00000280267.3	PRAMEF26
ENSG00000229571.6	PRAMEF26
ENSG00000277058.2	HNRNPCL3
ENSG00000277862.1	WI2-2994D6.1
ENSG00000236179.1	RP13-221M14.4
ENSG00000275774.2	HNRNPCL2
ENSG00000229978.1	RP13-221M14.3
ENSG00000233336.1	RP13-221M14.2
ENSG00000179412.10	HNRNPCL4
ENSG00000204505.4	PRAMEF25
ENSG00000279169.1	PRAMEF13
ENSG00000279804.1	PRAMEF18
ENSG00000250894.1	RP11-450I1.4
ENSG00000270601.4	PRAMEF5
ENSG00000231219.1	RP11-219C24.8
ENSG00000207511.1	RNU6-771P
ENSG00000182330.10	PRAMEF8
ENSG00000204501.6	PRAMEF15
ENSG00000237700.1	RP11-219C24.6
ENSG00000228229.2	RP11-219C24.10
ENSG00000204481.7	PRAMEF14
ENSG00000204480.7	PRAMEF19
ENSG00000204479.4	PRAMEF17
G000662	Unknown
ENSG00000204478.9	PRAMEF20
ENSG00000162494.5	LRRC38
G000665	Unknown
ENSG00000259961.1	RP4-597A16.2
ENSG00000215909.3	BRWD1P1
G000668	Unknown
ENSG00000162493.16	PDPN
ENSG00000222952.1	RNA5SP41
ENSG00000266358.1	AL359771.1
G000671	Unknown
G000672	Unknown
ENSG00000237445.2	CTA-520D8.2
XLOC_000056	NotAvail
CRCAG_001768	NotAvail
ENSG00000253085.1	SCARNA11
ENSG00000116731.22	PRDM2
G000677	Unknown
G000678	Unknown
G000680	Unknown
G000681	Unknown
G000682	Unknown
G000683	Unknown
G000684	Unknown
ENSG00000252151.1	RNU6-1265P
G000685	Unknown
XLOC_000057	NotAvail
G000687	Unknown
ENSG00000231606.1	RP11-344F13.1
XLOC_000709	NotAvail
ENSG00000234593.1	RP4-704D23.1
XLOC_000711	NotAvail
LCAG_001869	NotAvail
G000691	Unknown
G000689	Unknown
G000692	Unknown
XLOC_000712	NotAvail
ENSG00000189337.15	KAZN
ENSG00000280763.1	AL034395.1
G000693_grp1	Unknown
G000695	Unknown
G000696	Unknown
ENSG00000235829.1	TBCAP2
G000698	Unknown
G000697	Unknown
G000693_grp2	Unknown
G000699	Unknown
G000700	Unknown
G000693_grp3	Unknown
G000701	Unknown
G000704	Unknown
G000705	Unknown
G000703_grp1	Unknown
ENSG00000175147.11	TMEM51-AS1
ENSG00000171729.13	TMEM51
ENSG00000204464.7	C1orf195
G000703_grp2	Unknown
ENSG00000215720.4	RP1-21O18.3
ENSG00000278480.1	RP5-903E17.2
LCAG_000162	NotAvail
ENSG00000142621.19	FHAD1
G000711_grp1	Unknown
G000712	Unknown
ENSG00000233485.1	RP3-467K16.2
ENSG00000236045.1	RP3-467K16.7
G000711_grp2	Unknown
G000714	Unknown
ENSG00000228140.1	RP3-467K16.4
ENSG00000142634.12	EFHD2
G000717	Unknown
ENSG00000162438.11	CTRC
G000718	Unknown
ENSG00000142615.7	CELA2A
G000721	Unknown
ENSG00000215704.9	CELA2B
G000722	Unknown
ENSG00000132906.17	CASP9
ENSG00000116138.12	DNAJC16
ENSG00000251866.1	SCARNA21
ENSG00000272510.1	RP4-680D5.8
ENSG00000116771.5	AGMAT
ENSG00000237301.1	RP4-680D5.2
ENSG00000235084.3	CHCHD2P6
G000730	Unknown
ENSG00000252417.1	RNU7-179P
ENSG00000236500.1	RP4-680D5.4
ENSG00000197312.11	DDI2
ENSG00000215695.1	RSC1A1
G000733	Unknown
G000734	Unknown
G000735	Unknown
ENSG00000271742.1	RP4-680D5.9
ENSG00000116786.11	PLEKHM2
ENSG00000264048.1	AL121992.1
ENSG00000237938.5	RP11-288I21.1
ENSG00000162461.7	SLC25A34
ENSG00000224459.1	RP11-169K16.4
ENSG00000162460.6	TMEM82
G000743	Unknown
ENSG00000162458.12	FBLIM1
ENSG00000280788.1	Metazoa_SRP
ENSG00000224321.1	RP11-169K16.6
XLOC_000721	NotAvail
ENSG00000233954.6	UQCRHL
G000747	Unknown
ENSG00000178715.8	RP11-169K16.8
ENSG00000179743.4	FLJ37453
G000749	Unknown
ENSG00000065526.10	SPEN
MIR5096	MIR5096
ENSG00000270620.1	RP1-134O19.3
ENSG00000116809.11	ZBTB17
G000751	Unknown
ENSG00000234607.2	RP11-5P18.1
